id,category,difficulty,risk_level,g1_score,g1_reason,g1_error
Q001,보호결정·국적,기본,high,3,"AI 응답은 일부 절차를 포함하고 있으나, 핵심 내용인 한국 재외공관에 직접 보호 신청하는 방법이 누락되어 있으며, 법적 근거도 정확하지 않습니다.",
Q002,보호결정·국적,기본,low,2,"AI 응답은 북한이탈주민의 국적 취득 절차에 대한 주요 내용을 잘못 설명하고 있으며, 헌법 제3조와 관련된 내용을 누락했습니다. 또한, 귀화 절차에 대한 설명이 포함되어 있지만, 북한이탈주민의 경우 별도의 귀화 절차 없이 국적을 보유한다는 핵심 사실이 잘못 전달되었습니다.",
Q003,보호결정·국적,심화,medium,3,"AI 응답은 한국 국적법의 기본 원칙을 설명하고 있지만, 질문의 구체적인 상황(북한이탈주민 어머니와 중국에서 태어난 아이)에 대한 명확한 답변이 부족하며, 중요한 세부사항이 누락되어 있습니다.",
Q004,보호결정·국적,심화,high,4,"AI 응답은 북한이탈주민의 정의와 인정 요건을 잘 설명하고 있으나, 법원 판례에 대한 언급이 없고 중국 여권 소지의 법적 의미에 대한 설명이 부족하다.",
Q005,보호결정·국적,기본,high,3,"AI 응답은 보호신청의 일반적인 절차와 예외 상황을 언급하였으나, 4년 경과에 따른 보호결정의 어려움에 대한 구체적인 언급이 부족하고, 법적 근거가 명확하지 않아 일부 중요 내용이 누락되었다.",
Q006,가사,기본,medium,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 이혼 절차와 법률 상담의 필요성을 언급하고 있습니다. 그러나 북한 배우자와의 이혼 소송을 제기해야 한다는 구체적인 법적 절차에 대한 언급이 부족하여 사소한 누락이 있습니다.",
Q007,가사,기본,low,3,"AI 응답은 이혼 절차의 일부를 언급하고 있으나, 통일부의 확인서 발급 및 공시송달 방식 등 중요한 세부사항이 누락되어 있습니다. 또한, 법적 근거가 명확하게 제시되지 않아 일부 내용이 부정확합니다.",
Q008,가사,심화,high,3,"AI 응답은 가족관계 등록부 수정 절차에 대한 구체적인 정보를 제공하지만, 북한에서의 혼인 유효성 및 중혼 취소 문제에 대한 중요한 내용을 누락하고 있습니다.",
Q009,가사,기본,low,3,"AI 응답은 이름 변경 절차에 대한 기본적인 정보를 제공하지만, 핵심 내용인 개명허가신청과 필요한 서류에 대한 구체적인 언급이 부족합니다. 또한, 법원의 결정 후 신고 절차에 대한 정보가 누락되어 있습니다.",
Q010,민사,심화,medium,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 적절하게 제시하고 있습니다. 그러나 탈북 용역 계약에 대한 구체적인 언급이 부족하고, 일부 세부 사항이 누락되었습니다.",
Q011,민사,기본,medium,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 절차와 지원 기관에 대한 정보도 제공하고 있습니다. 그러나 탈북 용역 계약 관련 주장과 같은 구체적인 법적 근거가 누락되어 있어 사소한 차이가 있습니다.",
Q012,민사,기본,medium,4,"핵심 내용은 대부분 일치하지만, 탈북민지원법에 대한 언급이 누락되어 있어 일부 정보가 부족합니다. 전대와 관련된 법적 근거는 잘 설명되었으나, 전대 관계 정리에 대한 구체적인 조언이 부족합니다.",
Q013,형사,기본,high,2,"AI 응답은 경찰의 출석 요구가 법적 의무가 아니라는 핵심 내용을 잘못 전달하고 있으며, 법적 근거도 부정확합니다. 또한, 변호사 상담의 중요성을 언급했지만, 조사의 구체적인 권리와 주의사항이 누락되었습니다.",
Q014,형사,기본,high,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 징역형 및 벌금에 대한 언급이 누락되어 있어 사소한 정보가 부족하다. 그러나 반환 청구와 법적 근거를 명확히 제시하여 유용한 정보를 제공하고 있다.",
Q015,형사,기본,high,4,"AI 응답은 통장을 빌려준 것의 법적 문제를 잘 설명하고 있으며, 형법 제26조를 인용하여 법적 책임을 언급했습니다. 그러나 전자금융거래법 위반에 대한 구체적인 언급이 없고, 피해자에 대한 손해배상 책임에 대한 내용이 누락되어 있어 사소한 차이가 있습니다.",
Q016,형사,기본,high,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 북한이탈주민 정착지원 중단에 대한 언급이 누락되었습니다. 법적 근거는 정확하지만, 변호사 상담의 필요성을 강조한 부분이 다소 약하게 표현되었습니다.",
Q017,형사,심화,high,4,"AI 응답은 북한 방문의 법적 문제를 잘 설명하고 있으며, 관련 법령도 언급하고 있습니다. 그러나 통일부장관의 방문승인 필요성에 대한 언급이 없고, 국가보안법 관련 내용이 부족하여 사소한 누락이 있습니다.",
Q018,복지·정착지원,기본,low,2,"AI 응답은 정착지원금의 구체적인 금액을 명시하지 않고, 일반적인 지원 항목만 언급하여 주요 내용이 불일치합니다. 또한, 법적 근거는 언급했으나 세부사항이 부족하여 명백한 오류가 포함되어 있습니다.",
